,learning_rate,depth,trees,log_loss,prauc,roc_auc
0,0.16,7,500,2.6086,0.50263,0.7751212076042204
1,0.16,7,5000,2.57566,0.50902,0.7793780076314957
2,0.16,8,500,2.54498,0.51418,0.7817423190179487
3,0.16,8,5000,2.54612,0.51483,0.7833599838915102
4,0.17,7,500,2.59156,0.50498,0.775404301251599
5,0.17,7,5000,2.53248,0.51618,0.7824954336204885
6,0.17,8,500,2.54725,0.5137,0.7813772656416207
7,0.17,8,5000,2.5393,0.51593,0.7838005289071389
8,0.18000000000000002,7,500,2.58588,0.5055,0.7749531532062629
9,0.18000000000000002,7,5000,2.59611,0.50561,0.7778381675468244
10,0.18000000000000002,8,500,2.5802,0.50752,0.7775568756899155
11,0.18000000000000002,8,5000,2.55521,0.51391,0.7838636157262631
